recency,frequency,monetary,normalized_recency,normalized_frequency,normalized_monetary,fcm_cluster,k_means_cluster,Cluster_name
851,1,3075,1,1,1,1,1,Hibernating
228,5,9970,3,4,4,3,0,Potential Loyalist
668,2,6893,1,1,3,4,2,About to Sleep
10,3,10999,5,2,4,0,4,Loyal Customer
25,6,17873,5,5,5,0,3,Champions
154,4,9906,3,3,4,3,4,Loyal Customer
197,2,5521,3,1,2,4,2,About to Sleep
130,4,7299,4,3,3,3,0,Potential Loyalist
243,4,7186,3,3,3,2,0,Potential Loyalist
657,3,8554,1,2,3,4,2,About to Sleep
6,4,13209,5,3,4,0,3,Champions
611,2,5673,1,1,2,1,1,Hibernating
158,6,11348,3,5,4,3,0,Potential Loyalist
181,4,4122,3,3,2,2,0,Potential Loyalist
59,7,15675,5,5,5,0,3,Champions
50,4,2796,5,3,1,0,3,Potential Loyalist
399,2,8644,2,1,3,4,2,About to Sleep
5,4,3762,5,3,1,0,3,Potential Loyalist
217,4,17160,3,3,5,3,4,Loyal Customer
671,2,1376,1,1,1,1,1,Hibernating
300,4,8087,2,3,3,2,0,About to Sleep
259,2,2939,3,1,1,1,1,Hibernating
96,9,25340,4,5,5,0,3,Champions
336,2,4130,2,1,2,4,2,Hibernating
73,5,15662,4,4,5,3,3,Champions
30,8,18115,5,5,5,0,3,Champions
231,5,11554,3,4,4,3,0,Potential Loyalist
55,7,15174,5,5,5,0,3,Champions
155,3,3330,3,2,1,4,2,About to Sleep
62,5,16812,5,4,5,0,3,Champions
93,3,1177,4,2,1,2,0,Potential Loyalist
50,4,9479,5,3,3,0,3,Champions
56,3,9065,5,2,3,0,4,Loyal Customer
668,3,7450,1,2,3,4,2,About to Sleep
515,2,5943,1,1,2,1,1,Hibernating
50,3,5245,5,2,2,3,3,Champions
75,6,12812,4,5,4,0,3,Champions
174,2,6554,3,1,2,4,2,About to Sleep
30,4,19781,5,3,5,0,4,Champions
348,5,12484,2,4,4,2,0,Potential Loyalist
106,3,5578,4,2,2,2,0,Potential Loyalist
533,4,15707,1,3,5,4,2,About to Sleep
40,8,26811,5,5,5,0,3,Champions
66,2,1827,4,1,1,4,2,About to Sleep
496,2,3712,1,1,1,1,1,Hibernating
315,8,11038,2,5,4,2,0,Potential Loyalist
369,3,2652,2,2,1,1,1,Hibernating
45,4,9565,5,3,3,0,3,Champions
553,3,3426,1,2,1,1,1,Hibernating
56,5,26945,5,4,5,0,3,Champions
47,2,7424,5,1,3,3,4,Loyal Customer
126,3,4759,4,2,2,2,0,Potential Loyalist
40,2,3850,5,1,1,2,0,Potential Loyalist
211,6,18463,3,5,5,3,3,Champions
277,6,20490,2,5,5,3,0,Potential Loyalist
31,4,8170,5,3,3,0,3,Champions
150,3,12168,3,2,4,2,4,Loyal Customer
269,7,19432,2,5,5,3,0,Potential Loyalist
159,2,7758,3,1,3,4,2,About to Sleep
287,5,20696,2,4,5,2,0,Loyal Customer
16,6,13498,5,5,4,0,3,Champions
147,4,15175,4,3,5,3,4,Loyal Customer
0,9,24281,5,5,5,0,3,Champions
684,3,9549,1,2,3,4,2,About to Sleep
91,5,5541,4,4,2,3,0,Potential Loyalist
708,5,11728,1,4,4,2,0,About to Sleep
299,3,3593,2,2,1,1,1,Hibernating
327,2,6240,2,1,2,4,2,Hibernating
114,3,11234,4,2,4,3,4,Loyal Customer
176,3,3837,3,2,1,4,2,About to Sleep
70,7,21311,4,5,5,0,3,Champions
675,2,8709,1,1,3,4,2,About to Sleep
172,2,1538,3,1,1,1,1,Hibernating
41,3,3714,5,2,1,3,0,Potential Loyalist
335,5,6754,2,4,3,2,0,Potential Loyalist
119,4,5436,4,3,2,2,0,Potential Loyalist
6,7,21790,5,5,5,0,3,Champions
1084,1,688,1,1,1,1,1,Hibernating
222,4,5208,3,3,2,2,0,Potential Loyalist
9,2,7366,5,1,3,3,4,Loyal Customer
575,1,2127,1,1,1,1,1,Hibernating
524,3,10959,1,2,4,4,2,About to Sleep
615,4,4340,1,3,2,4,2,About to Sleep
1084,1,1568,1,1,1,1,1,Hibernating
41,5,12192,5,4,4,0,3,Champions
240,3,3659,3,2,1,4,2,About to Sleep
402,6,12511,2,5,4,2,0,Potential Loyalist
109,6,13257,4,5,4,0,3,Champions
257,3,5832,3,2,2,4,2,About to Sleep
240,3,9901,3,2,4,2,4,Loyal Customer
235,2,5947,3,1,2,4,2,About to Sleep
222,4,13669,3,3,5,3,4,Loyal Customer
234,3,8879,3,2,3,2,2,About to Sleep
893,1,1780,1,1,1,1,1,Hibernating
314,3,4282,2,2,2,4,2,About to Sleep
225,4,4302,3,3,2,2,0,Potential Loyalist
291,4,3822,2,3,1,4,1,Hibernating
673,2,1237,1,1,1,1,1,Hibernating
65,8,15140,4,5,5,0,3,Champions
27,3,5661,5,2,2,3,3,Champions
241,5,10554,3,4,4,3,0,Potential Loyalist
10,7,11527,5,5,4,0,3,Champions
24,3,10208,5,2,4,0,4,Loyal Customer
154,4,14649,3,3,5,3,4,Loyal Customer
22,5,14969,5,4,5,0,3,Champions
368,2,4908,2,1,2,4,2,Hibernating
305,6,9769,2,5,4,2,0,Potential Loyalist
289,7,14755,2,5,5,3,0,Potential Loyalist
52,4,7806,5,3,3,0,3,Champions
96,6,13327,4,5,4,0,3,Champions
317,3,5561,2,2,2,4,2,About to Sleep
48,3,6120,5,2,2,3,3,Champions
348,4,9167,2,3,3,2,0,About to Sleep
0,1,3384,5,1,1,2,0,Potential Loyalist
216,4,12711,3,3,4,3,4,Loyal Customer
156,4,7024,3,3,3,2,0,Potential Loyalist
5,4,6961,5,3,3,0,3,Champions
281,6,10089,2,5,4,2,0,Potential Loyalist
156,6,11800,3,5,4,3,0,Potential Loyalist
3,3,8336,5,2,3,0,4,Loyal Customer
3,5,6380,5,4,2,0,3,Champions
50,4,10136,5,3,4,0,3,Champions
448,2,2913,2,1,1,1,1,Hibernating
212,4,17327,3,3,5,3,4,Loyal Customer
339,3,2509,2,2,1,1,1,Hibernating
472,3,3737,1,2,1,1,1,Hibernating
851,2,5396,1,1,2,1,1,Hibernating
102,2,7650,4,1,3,2,4,Loyal Customer
418,4,12774,2,3,4,2,0,About to Sleep
128,3,13224,4,2,4,3,4,Loyal Customer
109,2,3806,4,1,1,4,2,About to Sleep
335,4,2110,2,3,1,4,1,Hibernating
913,1,3644,1,1,1,1,1,Hibernating
68,3,3396,4,2,1,2,0,Potential Loyalist
71,5,15079,4,4,5,3,3,Champions
226,2,2254,3,1,1,1,1,Hibernating
1063,1,1244,1,1,1,1,1,Hibernating
506,3,4559,1,2,2,1,1,Hibernating
192,5,8208,3,4,3,2,0,Potential Loyalist
14,5,12889,5,4,4,0,3,Champions
208,8,9465,3,5,3,2,0,Potential Loyalist
192,6,18853,3,5,5,3,3,Champions
489,1,2532,1,1,1,1,1,Hibernating
594,5,18782,1,4,5,2,0,About to Sleep
257,5,9748,3,4,4,3,0,Potential Loyalist
113,5,15585,4,4,5,3,3,Champions
82,5,8167,4,4,3,3,3,Champions
493,3,12090,1,2,4,4,2,About to Sleep
39,4,6042,5,3,2,0,3,Champions
114,1,2398,4,1,1,4,2,About to Sleep
445,3,6884,2,2,3,4,2,About to Sleep
748,3,7598,1,2,3,4,2,About to Sleep
606,3,12550,1,2,4,4,2,About to Sleep
39,3,4109,5,2,2,3,3,Champions
226,1,2013,3,1,1,1,1,Hibernating
183,2,6980,3,1,3,4,2,About to Sleep
77,7,17760,4,5,5,0,3,Champions
460,1,4056,1,1,2,1,1,Hibernating
129,2,6523,4,1,2,4,2,About to Sleep
192,4,7174,3,3,3,2,0,Potential Loyalist
174,3,6239,3,2,2,4,2,About to Sleep
276,3,1748,2,2,1,1,1,Hibernating
376,5,14381,2,4,5,2,0,Loyal Customer
457,1,4356,1,1,2,1,1,Hibernating
49,3,7638,5,2,3,0,4,Loyal Customer
635,5,8669,1,4,3,2,0,About to Sleep
162,5,11170,3,4,4,3,0,Potential Loyalist
300,4,9202,2,3,3,2,0,About to Sleep
197,3,4075,3,2,2,4,2,About to Sleep
19,3,5375,5,2,2,3,3,Champions
113,5,11103,4,4,4,3,3,Champions
158,5,4391,3,4,2,2,0,Potential Loyalist
453,6,13009,2,5,4,2,0,Potential Loyalist
643,3,8077,1,2,3,4,2,About to Sleep
371,3,7584,2,2,3,4,2,About to Sleep
63,4,12311,5,3,4,0,3,Champions
1,4,21099,5,3,5,0,4,Champions
324,6,9945,2,5,4,2,0,Potential Loyalist
168,1,412,3,1,1,1,1,Hibernating
127,3,5222,4,2,2,2,0,Potential Loyalist
125,5,8105,4,4,3,3,3,Champions
951,1,388,1,1,1,1,1,Hibernating
31,5,16773,5,4,5,0,3,Champions
478,4,10492,1,3,4,4,2,About to Sleep
81,5,20260,4,4,5,3,3,Champions
411,5,4963,2,4,2,2,0,Potential Loyalist
54,6,17112,5,5,5,0,3,Champions
185,5,15599,3,4,5,3,4,Loyal Customer
56,4,24206,5,3,5,0,4,Champions
560,3,2939,1,2,1,1,1,Hibernating
589,4,4347,1,3,2,4,2,About to Sleep
329,5,12242,2,4,4,2,0,Potential Loyalist
151,3,8177,3,2,3,2,2,About to Sleep
1,8,24295,5,5,5,0,3,Champions
76,6,12346,4,5,4,0,3,Champions
6,5,6710,5,4,2,0,3,Champions
672,3,5362,1,2,2,1,1,Hibernating
167,5,7867,3,4,3,2,0,Potential Loyalist
478,4,13404,1,3,4,4,2,About to Sleep
329,4,9132,2,3,3,2,0,About to Sleep
836,3,9673,1,2,4,4,2,About to Sleep
150,5,7046,3,4,3,2,0,Potential Loyalist
661,3,8968,1,2,3,4,2,About to Sleep
216,2,2435,3,1,1,1,1,Hibernating
264,1,2645,3,1,1,1,1,Hibernating
474,4,8185,1,3,3,4,2,About to Sleep
200,2,4825,3,1,2,4,2,About to Sleep
901,2,4816,1,1,2,1,1,Hibernating
115,7,16507,4,5,5,0,3,Champions
65,2,7553,4,1,3,2,4,Loyal Customer
311,5,9552,2,4,3,2,0,Potential Loyalist
120,3,11808,4,2,4,3,4,Loyal Customer
244,4,6377,3,3,2,2,0,Potential Loyalist
4,4,11375,5,3,4,0,3,Champions
608,3,5487,1,2,2,1,1,Hibernating
251,7,26302,3,5,5,3,3,Champions
40,7,11747,5,5,4,0,3,Champions
309,5,15070,2,4,5,2,0,Loyal Customer
27,4,4748,5,3,2,0,3,Champions
342,5,11726,2,4,4,2,0,Potential Loyalist
227,6,11946,3,5,4,3,0,Potential Loyalist
214,2,5156,3,1,2,4,2,About to Sleep
79,7,14378,4,5,5,0,3,Champions
223,5,10498,3,4,4,3,0,Potential Loyalist
220,3,11886,3,2,4,2,4,Loyal Customer
258,4,7397,3,3,3,2,0,Potential Loyalist
190,4,15340,3,3,5,3,4,Loyal Customer
215,2,4374,3,1,2,4,2,About to Sleep
10,6,15338,5,5,5,0,3,Champions
197,8,21911,3,5,5,3,3,Champions
67,4,10534,4,3,4,3,4,Loyal Customer
294,3,5030,2,2,2,4,2,About to Sleep
255,5,15380,3,4,5,3,4,Loyal Customer
29,9,25146,5,5,5,0,3,Champions
439,4,12565,2,3,4,2,0,About to Sleep
330,4,10650,2,3,4,2,0,About to Sleep
293,3,3828,2,2,1,1,1,Hibernating
1055,2,3157,1,1,1,1,1,Hibernating
90,5,15066,4,4,5,3,3,Champions
450,5,5585,2,4,2,2,0,Potential Loyalist
872,1,4317,1,1,2,1,1,Hibernating
145,4,15197,4,3,5,3,4,Loyal Customer
401,2,1702,2,1,1,1,1,Hibernating
434,3,12754,2,2,4,4,2,About to Sleep
126,5,13532,4,4,4,3,3,Champions
40,5,13592,5,4,5,0,3,Champions
227,3,9011,3,2,3,2,2,About to Sleep
33,9,17878,5,5,5,0,3,Champions
973,1,4624,1,1,2,1,1,Hibernating
165,4,11798,3,3,4,3,4,Loyal Customer
123,5,15176,4,4,5,3,3,Champions
525,2,3988,1,1,2,1,1,Hibernating
14,3,9845,5,2,4,0,4,Loyal Customer
0,5,12114,5,4,4,0,3,Champions
10,10,21809,5,5,5,0,3,Champions
43,7,12779,5,5,4,0,3,Champions
610,3,5798,1,2,2,1,1,Hibernating
117,7,28542,4,5,5,0,3,Champions
314,1,6800,2,1,3,4,2,About to Sleep
154,7,6911,3,5,3,2,0,Potential Loyalist
47,7,22840,5,5,5,0,3,Champions
188,2,6080,3,1,2,4,2,About to Sleep
160,3,3759,3,2,1,4,2,About to Sleep
143,3,11638,4,2,4,3,4,Loyal Customer
137,7,14988,4,5,5,0,3,Champions
145,2,4040,4,1,2,4,2,About to Sleep
214,2,4330,3,1,2,4,2,About to Sleep
62,3,4881,5,2,2,3,3,Champions
141,10,24952,4,5,5,0,3,Champions
30,4,5057,5,3,2,0,3,Champions
149,5,7864,4,4,3,3,3,Champions
501,3,3716,1,2,1,1,1,Hibernating
225,3,8608,3,2,3,2,2,About to Sleep
206,6,11551,3,5,4,3,0,Potential Loyalist
233,4,14094,3,3,5,3,4,Loyal Customer
350,1,3168,2,1,1,1,1,Hibernating
317,5,10026,2,4,4,2,0,Potential Loyalist
18,4,16127,5,3,5,0,4,Champions
460,6,14228,1,5,5,2,0,Potential Loyalist
211,6,21743,3,5,5,3,3,Champions
58,7,10021,5,5,4,0,3,Champions
274,6,8669,2,5,3,2,0,Potential Loyalist
216,4,13910,3,3,5,3,4,Loyal Customer
307,2,5304,2,1,2,4,2,Hibernating
12,6,21610,5,5,5,0,3,Champions
76,3,5914,4,2,2,2,0,Potential Loyalist
487,2,8046,1,1,3,4,2,About to Sleep
22,4,10639,5,3,4,0,3,Champions
121,3,7635,4,2,3,3,4,Loyal Customer
6,4,6268,5,3,2,0,3,Champions
601,2,5826,1,1,2,1,1,Hibernating
274,7,19391,2,5,5,3,0,Potential Loyalist
341,1,3368,2,1,1,1,1,Hibernating
851,3,11974,1,2,4,4,2,About to Sleep
64,5,6480,5,4,2,0,3,Champions
16,3,6189,5,2,2,3,3,Champions
193,3,6400,3,2,2,4,2,About to Sleep
475,5,15783,1,4,5,2,0,About to Sleep
391,2,3288,2,1,1,1,1,Hibernating
266,4,16271,3,3,5,3,4,Loyal Customer
477,3,10458,1,2,4,4,2,About to Sleep
61,4,2922,5,3,1,0,3,Potential Loyalist
37,6,11808,5,5,4,0,3,Champions
43,5,11776,5,4,4,0,3,Champions
59,4,14232,5,3,5,0,4,Champions
301,3,5736,2,2,2,4,2,About to Sleep
143,2,2609,4,1,1,4,2,About to Sleep
52,9,18389,5,5,5,0,3,Champions
71,3,8188,4,2,3,3,4,Loyal Customer
92,4,5392,4,3,2,2,0,Potential Loyalist
115,6,17249,4,5,5,0,3,Champions
264,2,5703,3,1,2,4,2,About to Sleep
257,4,11338,3,3,4,3,4,Loyal Customer
81,5,6271,4,4,2,3,0,Potential Loyalist
316,3,11125,2,2,4,4,2,About to Sleep
433,3,7943,2,2,3,4,2,About to Sleep
112,3,4046,4,2,2,2,0,Potential Loyalist
67,6,12931,4,5,4,0,3,Champions
360,8,21197,2,5,5,3,0,Potential Loyalist
1042,1,1319,1,1,1,1,1,Hibernating
584,3,9321,1,2,3,4,2,About to Sleep
263,2,6532,3,1,2,4,2,About to Sleep
379,6,10966,2,5,4,2,0,Potential Loyalist
76,4,8152,4,3,3,3,0,Potential Loyalist
49,5,14847,5,4,5,0,3,Champions
445,6,11169,2,5,4,2,0,Potential Loyalist
156,5,14880,3,4,5,3,4,Loyal Customer
69,5,8386,4,4,3,3,3,Champions
192,3,5983,3,2,2,4,2,About to Sleep
34,2,8034,5,1,3,3,4,Loyal Customer
411,2,4905,2,1,2,4,2,Hibernating
458,3,3597,1,2,1,1,1,Hibernating
429,4,11133,2,3,4,2,0,About to Sleep
347,2,887,2,1,1,1,1,Hibernating
0,6,13194,5,5,4,0,3,Champions
50,5,13444,5,4,4,0,3,Champions
456,4,9068,1,3,3,4,2,About to Sleep
490,2,6785,1,1,3,4,2,About to Sleep
119,4,3029,4,3,1,2,0,Potential Loyalist
785,2,6102,1,1,2,1,1,Hibernating
52,6,16583,5,5,5,0,3,Champions
264,4,8115,3,3,3,2,0,Potential Loyalist
490,4,4718,1,3,2,4,2,About to Sleep
351,2,8335,2,1,3,4,2,About to Sleep
47,8,11240,5,5,4,0,3,Champions
134,4,9761,4,3,4,3,4,Loyal Customer
39,5,9245,5,4,3,0,3,Champions
50,7,9250,5,5,3,0,3,Champions
399,3,7501,2,2,3,4,2,About to Sleep
109,6,12361,4,5,4,0,3,Champions
284,3,9018,2,2,3,4,2,About to Sleep
15,6,10974,5,5,4,0,3,Champions
31,4,9407,5,3,3,0,3,Champions
335,3,3308,2,2,1,1,1,Hibernating
322,4,3352,2,3,1,4,1,Hibernating
24,3,4445,5,2,2,3,3,Champions
461,5,5780,1,4,2,2,0,About to Sleep
316,2,3650,2,1,1,1,1,Hibernating
246,3,5365,3,2,2,4,2,About to Sleep
413,3,3271,2,2,1,1,1,Hibernating
3,9,28770,5,5,5,0,3,Champions
5,7,20158,5,5,5,0,3,Champions
312,4,16064,2,3,5,2,4,Loyal Customer
21,6,10282,5,5,4,0,3,Champions
39,3,7170,5,2,3,0,4,Loyal Customer
101,4,10768,4,3,4,3,4,Loyal Customer
253,2,4835,3,1,2,4,2,About to Sleep
85,3,3060,4,2,1,2,0,Potential Loyalist
191,4,8850,3,3,3,2,0,Potential Loyalist
89,3,5408,4,2,2,2,0,Potential Loyalist
185,2,1357,3,1,1,1,1,Hibernating
965,1,780,1,1,1,1,1,Hibernating
311,4,12497,2,3,4,2,0,About to Sleep
1,8,12611,5,5,4,0,3,Champions
1025,2,2381,1,1,1,1,1,Hibernating
505,3,9200,1,2,3,4,2,About to Sleep
72,3,7485,4,2,3,3,4,Loyal Customer
128,2,6160,4,1,2,4,2,About to Sleep
9,5,14290,5,4,5,0,3,Champions
114,3,3012,4,2,1,2,0,Potential Loyalist
50,7,18879,5,5,5,0,3,Champions
283,3,5341,2,2,2,4,2,About to Sleep
153,4,7527,3,3,3,2,0,Potential Loyalist
86,2,3447,4,1,1,4,2,About to Sleep
638,1,2376,1,1,1,1,1,Hibernating
455,1,665,2,1,1,1,1,Hibernating
689,1,1498,1,1,1,1,1,Hibernating
664,1,100,1,1,1,1,1,Hibernating
924,1,1236,1,1,1,1,1,Hibernating
448,3,4325,2,2,2,4,2,About to Sleep
137,2,2852,4,1,1,4,2,About to Sleep
40,4,11896,5,3,4,0,3,Champions
121,3,6146,4,2,2,2,0,Potential Loyalist
49,4,7320,5,3,3,0,3,Champions
342,6,13538,2,5,5,3,0,Potential Loyalist
427,5,9441,2,4,3,2,0,Potential Loyalist
268,4,15837,3,3,5,3,4,Loyal Customer
830,2,3355,1,1,1,1,1,Hibernating
188,2,7615,3,1,3,4,2,About to Sleep
60,4,7903,5,3,3,0,3,Champions
396,5,17738,2,4,5,2,0,Loyal Customer
38,10,20697,5,5,5,0,3,Champions
391,1,5960,2,1,2,4,2,Hibernating
123,7,24741,4,5,5,0,3,Champions
0,3,6408,5,2,2,3,3,Champions
342,6,10953,2,5,4,2,0,Potential Loyalist
71,3,12065,4,2,4,3,4,Loyal Customer
56,6,12090,5,5,4,0,3,Champions
74,3,6770,4,2,3,3,4,Loyal Customer
75,2,6108,4,1,2,4,2,About to Sleep
518,4,12801,1,3,4,4,2,About to Sleep
159,4,12507,3,3,4,3,4,Loyal Customer
116,7,10831,4,5,4,0,3,Champions
118,4,10744,4,3,4,3,4,Loyal Customer
544,2,3212,1,1,1,1,1,Hibernating
329,8,11621,2,5,4,2,0,Potential Loyalist
435,4,12421,2,3,4,2,0,About to Sleep
232,3,5862,3,2,2,4,2,About to Sleep
87,5,12065,4,4,4,3,3,Champions
19,4,6885,5,3,3,0,3,Champions
308,1,519,2,1,1,1,1,Hibernating
182,5,5859,3,4,2,2,0,Potential Loyalist
222,4,13631,3,3,5,3,4,Loyal Customer
190,5,10518,3,4,4,3,0,Potential Loyalist
866,3,5167,1,2,2,1,1,Hibernating
102,6,15901,4,5,5,0,3,Champions
145,3,8765,4,2,3,3,4,Loyal Customer
269,5,11145,2,4,4,2,0,Potential Loyalist
239,3,8248,3,2,3,2,2,About to Sleep
177,4,1533,3,3,1,2,0,Potential Loyalist
475,2,2960,1,1,1,1,1,Hibernating
60,6,12295,5,5,4,0,3,Champions
112,4,5601,4,3,2,2,0,Potential Loyalist
170,6,7841,3,5,3,2,0,Potential Loyalist
263,6,11683,3,5,4,3,0,Potential Loyalist
89,4,7304,4,3,3,3,0,Potential Loyalist
78,6,19873,4,5,5,0,3,Champions
294,6,14244,2,5,5,3,0,Potential Loyalist
354,4,10277,2,3,4,2,0,About to Sleep
102,2,4551,4,1,2,4,2,About to Sleep
489,3,9401,1,2,3,4,2,About to Sleep
64,3,4992,5,2,2,3,3,Champions
327,5,10816,2,4,4,2,0,Potential Loyalist
236,6,13639,3,5,5,3,3,Champions
377,5,15516,2,4,5,2,0,Loyal Customer
93,4,11675,4,3,4,3,4,Loyal Customer
417,2,8440,2,1,3,4,2,About to Sleep
51,5,9918,5,4,4,0,3,Champions
58,5,10107,5,4,4,0,3,Champions
314,5,11546,2,4,4,2,0,Potential Loyalist
107,4,14196,4,3,5,3,4,Loyal Customer
23,6,14911,5,5,5,0,3,Champions
292,3,3290,2,2,1,1,1,Hibernating
14,1,688,5,1,1,2,0,Potential Loyalist
251,5,11740,3,4,4,3,0,Potential Loyalist
191,7,20084,3,5,5,3,3,Champions
668,2,4162,1,1,2,1,1,Hibernating
180,3,10532,3,2,4,2,4,Loyal Customer
370,5,17294,2,4,5,2,0,Loyal Customer
643,2,3129,1,1,1,1,1,Hibernating
50,7,21295,5,5,5,0,3,Champions
17,3,12124,5,2,4,0,4,Loyal Customer
789,2,5243,1,1,2,1,1,Hibernating
234,6,25233,3,5,5,3,3,Champions
58,6,10230,5,5,4,0,3,Champions
348,5,17242,2,4,5,2,0,Loyal Customer
59,3,5408,5,2,2,3,3,Champions
493,5,8584,1,4,3,2,0,About to Sleep
356,6,9853,2,5,4,2,0,Potential Loyalist
139,2,1282,4,1,1,4,2,About to Sleep
332,2,6368,2,1,2,4,2,Hibernating
61,9,15018,5,5,5,0,3,Champions
1118,1,1962,1,1,1,1,1,Hibernating
489,1,1662,1,1,1,1,1,Hibernating
214,3,6665,3,2,2,4,2,About to Sleep
56,3,7737,5,2,3,0,4,Loyal Customer
70,6,10314,4,5,4,0,3,Champions
224,3,2841,3,2,1,4,2,About to Sleep
134,5,17477,4,4,5,3,3,Champions
49,5,15359,5,4,5,0,3,Champions
516,5,12292,1,4,4,2,0,About to Sleep
565,2,3428,1,1,1,1,1,Hibernating
274,5,9581,2,4,3,2,0,Potential Loyalist
266,6,9172,3,5,3,2,0,Potential Loyalist
29,5,11640,5,4,4,0,3,Champions
786,1,1234,1,1,1,1,1,Hibernating
256,4,16586,3,3,5,3,4,Loyal Customer
715,1,3054,1,1,1,1,1,Hibernating
772,2,5863,1,1,2,1,1,Hibernating
121,8,13767,4,5,5,0,3,Champions
980,1,2124,1,1,1,1,1,Hibernating
180,3,3439,3,2,1,4,2,About to Sleep
371,3,2308,2,2,1,1,1,Hibernating
259,6,8879,3,5,3,2,0,Potential Loyalist
33,3,7360,5,2,3,0,4,Loyal Customer
929,2,3025,1,1,1,1,1,Hibernating
962,2,6615,1,1,2,1,1,Hibernating
110,5,7448,4,4,3,3,3,Champions
379,3,4731,2,2,2,4,2,About to Sleep
110,4,11648,4,3,4,3,4,Loyal Customer
9,5,9896,5,4,4,0,3,Champions
126,6,15408,4,5,5,0,3,Champions
58,4,5990,5,3,2,0,3,Champions
303,3,6713,2,2,3,4,2,About to Sleep
244,7,10031,3,5,4,3,0,Potential Loyalist
416,7,20824,2,5,5,3,0,Potential Loyalist
1040,1,2988,1,1,1,1,1,Hibernating
173,3,8330,3,2,3,2,2,About to Sleep
30,3,4723,5,2,2,3,3,Champions
129,5,13665,4,4,5,3,3,Champions
597,1,986,1,1,1,1,1,Hibernating
891,1,573,1,1,1,1,1,Hibernating
319,2,6328,2,1,2,4,2,Hibernating
242,3,5497,3,2,2,4,2,About to Sleep
125,1,819,4,1,1,4,2,About to Sleep
685,5,11374,1,4,4,2,0,About to Sleep
119,4,6691,4,3,2,2,0,Potential Loyalist
127,8,15488,4,5,5,0,3,Champions
181,2,6701,3,1,2,4,2,About to Sleep
856,2,3872,1,1,1,1,1,Hibernating
146,7,13550,4,5,5,0,3,Champions
347,2,4537,2,1,2,4,2,Hibernating
166,5,12498,3,4,4,3,0,Potential Loyalist
178,2,1208,3,1,1,1,1,Hibernating
149,1,220,4,1,1,4,2,About to Sleep
409,5,12285,2,4,4,2,0,Potential Loyalist
38,7,19189,5,5,5,0,3,Champions
37,8,12322,5,5,4,0,3,Champions
122,6,12648,4,5,4,0,3,Champions
145,6,14280,4,5,5,0,3,Champions
295,1,860,2,1,1,1,1,Hibernating
263,7,15878,3,5,5,3,3,Champions
125,3,6842,4,2,3,3,4,Loyal Customer
102,5,9189,4,4,3,3,3,Champions
126,8,17707,4,5,5,0,3,Champions
827,3,7178,1,2,3,4,2,About to Sleep
236,4,18171,3,3,5,3,4,Loyal Customer
232,1,2885,3,1,1,1,1,Hibernating
86,4,9636,4,3,4,3,4,Loyal Customer
91,3,6884,4,2,3,3,4,Loyal Customer
205,2,4972,3,1,2,4,2,About to Sleep
103,6,6656,4,5,2,0,3,Potential Loyalist
886,1,5630,1,1,2,1,1,Hibernating
100,4,9165,4,3,3,3,0,Potential Loyalist
577,2,1367,1,1,1,1,1,Hibernating
42,4,10539,5,3,4,0,3,Champions
609,4,6684,1,3,2,4,2,About to Sleep
715,1,336,1,1,1,1,1,Hibernating
304,5,14198,2,4,5,2,0,Loyal Customer
785,3,16261,1,2,5,4,2,About to Sleep
582,4,2086,1,3,1,1,1,Hibernating
36,5,7313,5,4,3,0,3,Champions
221,8,17235,3,5,5,3,3,Champions
187,5,16278,3,4,5,3,4,Loyal Customer
589,2,1864,1,1,1,1,1,Hibernating
97,5,12401,4,4,4,3,3,Champions
52,4,15851,5,3,5,0,4,Champions
237,4,7576,3,3,3,2,0,Potential Loyalist
292,3,11297,2,2,4,4,2,About to Sleep
361,4,16814,2,3,5,2,4,Loyal Customer
966,1,592,1,1,1,1,1,Hibernating
200,2,9257,3,1,3,4,2,About to Sleep
401,2,1304,2,1,1,1,1,Hibernating
112,6,16629,4,5,5,0,3,Champions
345,3,7285,2,2,3,4,2,About to Sleep
146,7,26713,4,5,5,0,3,Champions
444,1,3060,2,1,1,1,1,Hibernating
683,2,7002,1,1,3,4,2,About to Sleep
17,7,20217,5,5,5,0,3,Champions
85,2,2936,4,1,1,4,2,About to Sleep
48,8,23769,5,5,5,0,3,Champions
458,3,7538,1,2,3,4,2,About to Sleep
91,4,9638,4,3,4,3,4,Loyal Customer
104,3,12169,4,2,4,3,4,Loyal Customer
16,4,7567,5,3,3,0,3,Champions
39,3,4383,5,2,2,3,3,Champions
90,8,12105,4,5,4,0,3,Champions
142,9,15099,4,5,5,0,3,Champions
363,6,20816,2,5,5,3,0,Potential Loyalist
89,4,9782,4,3,4,3,4,Loyal Customer
370,5,14763,2,4,5,2,0,Loyal Customer
277,6,15072,2,5,5,3,0,Potential Loyalist
169,6,4664,3,5,2,2,0,Potential Loyalist
154,3,6002,3,2,2,4,2,About to Sleep
511,4,5287,1,3,2,4,2,About to Sleep
87,4,7065,4,3,3,3,0,Potential Loyalist
594,2,4400,1,1,2,1,1,Hibernating
20,6,19343,5,5,5,0,3,Champions
872,2,3894,1,1,1,1,1,Hibernating
253,4,6614,3,3,2,2,0,Potential Loyalist
239,8,17372,3,5,5,3,3,Champions
234,4,18014,3,3,5,3,4,Loyal Customer
232,4,9426,3,3,3,2,0,Potential Loyalist
13,1,493,5,1,1,2,0,Potential Loyalist
