recency,frequency,monetary,normalized_recency,normalized_frequency,normalized_monetary,fcm_cluster,k_means_cluster,Cluster_name
202,5,7886,3,4,3,2,0,Potential Loyalist
22,2,6594,5,1,2,3,4,Loyal Customer
174,3,11614,3,2,4,2,4,Loyal Customer
440,4,8046,2,3,3,2,0,About to Sleep
201,3,8922,3,2,3,2,2,About to Sleep
248,8,24093,3,5,5,3,3,Champions
33,3,12838,5,2,4,0,4,Loyal Customer
341,6,4140,2,5,2,2,0,Potential Loyalist
48,3,7082,5,2,3,0,4,Loyal Customer
411,4,8272,2,3,3,2,0,About to Sleep
80,2,7036,4,1,3,2,4,Loyal Customer
163,3,8822,3,2,3,2,2,About to Sleep
485,1,3324,1,1,1,1,1,Hibernating
76,8,25343,4,5,5,0,3,Champions
242,3,9288,3,2,3,2,2,About to Sleep
111,6,8290,4,5,3,0,3,Champions
212,5,14753,3,4,5,3,4,Loyal Customer
270,2,2052,2,1,1,1,1,Hibernating
96,4,12605,4,3,4,3,4,Loyal Customer
169,8,19062,3,5,5,3,3,Champions
211,3,7469,3,2,3,2,2,About to Sleep
218,1,521,3,1,1,1,1,Hibernating
245,5,11978,3,4,4,3,0,Potential Loyalist
272,8,17635,2,5,5,3,0,Potential Loyalist
8,8,22356,5,5,5,0,3,Champions
139,4,16254,4,3,5,3,4,Loyal Customer
616,3,3029,1,2,1,1,1,Hibernating
110,5,9861,4,4,4,3,3,Champions
271,2,5061,2,1,2,4,2,Hibernating
338,2,8525,2,1,3,4,2,About to Sleep
575,4,9433,1,3,3,4,2,About to Sleep
213,5,5792,3,4,2,2,0,Potential Loyalist
191,3,9474,3,2,3,2,2,About to Sleep
912,1,4830,1,1,2,1,1,Hibernating
17,9,17984,5,5,5,0,3,Champions
162,2,4240,3,1,2,4,2,About to Sleep
109,5,15990,4,4,5,3,3,Champions
152,5,10122,3,4,4,3,0,Potential Loyalist
80,4,5057,4,3,2,2,0,Potential Loyalist
93,6,10963,4,5,4,0,3,Champions
523,3,6836,1,2,3,4,2,About to Sleep
1,6,14845,5,5,5,0,3,Champions
